# Screener Parameters:
# MACD > Signal (values printed as 'MACD / Signal')
# RSI(14) from Alpha Vantage (daily, close)
# ATR% > 2
# Beta > 1.2
# AvgDailyVol > 1M (value printed)

Ticker,Price,ATR%,RSI,MACD>Signal,AvgDailyVol>1M,Beta
STX,279.35,6.69,66.22,15.2678 / 11.3676,5068291,1.62
FSLR,267.64,5.29,63.62,12.6765 / 9.9643,2623618,1.59
MU,237.92,5.13,68.77,15.8180 / 15.3273,22610760,1.55
TER,182.28,5.07,69.07,13.5237 / 10.8439,3773637,1.85
UAL,97.43,4.21,50.19,-1.1644 / -1.2160,7222243,1.31
JBL,213.78,3.99,51.2,1.7578 / 1.1840,1165777,1.26
ODFL,139.9,3.79,50.63,-0.5777 / -1.0709,2234004,1.27
ALGN,134.84,3.75,50.85,0.8242 / 0.6772,1291557,1.87
IBKR,70.54,3.49,54.73,0.9807 / 0.8844,4818609,1.25
F,13.21,3.28,60.74,0.3277 / 0.3170,146765075,1.61
AMZN,244.41,3.27,60.92,6.4884 / 3.9845,55288041,1.37
NUE,144.28,3.27,52.8,2.1973 / 2.1348,1625601,1.87
APO,132.4,3.23,56.58,-0.0054 / -1.3280,3749571,1.61
KEYS,180.83,3.16,58.24,3.8307 / 2.1928,1283165,1.2
HWM,206.62,3.07,63.8,4.5127 / 4.0497,2078850,1.32
HST,17.84,2.67,69.27,0.0560 / -0.0838,8529817,1.21
TEL,242.43,2.62,63.99,7.0211 / 6.7424,1949254,1.24
DOV,180.32,2.57,60.72,2.9017 / 2.3883,1382519,1.31
SYF,73.19,2.43,50.79,0.3572 / 0.2957,3574674,1.46
GS,786.01,2.41,53.28,4.3134 / 2.9918,2193055,1.35
NTRS,129.99,2.22,55.73,-0.1656 / -0.5380,1072421,1.28
